Date,Clicks,Impressions,CTR,Position
2026-03-30,0,16,0%,9.5
2026-03-31,0,49,0%,6.4
2026-04-01,0,17,0%,4.9
2026-04-02,0,12,0%,6.8
2026-04-03,0,16,0%,6.8
2026-04-04,0,14,0%,7.5
2026-04-05,0,7,0%,6.7
2026-04-06,0,20,0%,6.5
2026-04-07,0,8,0%,10
2026-04-08,0,10,0%,7.1
2026-04-09,0,14,0%,8.9
2026-04-10,0,4,0%,11
2026-04-11,0,20,0%,7.2
2026-04-12,0,17,0%,8.2
2026-04-13,0,18,0%,11.3
2026-04-14,0,10,0%,8.8
2026-04-15,0,16,0%,16.4
2026-04-16,0,35,0%,3.6
2026-04-17,0,12,0%,8.7
2026-04-18,0,16,0%,10.3
2026-04-19,0,12,0%,8.3
2026-04-20,0,6,0%,12.3
2026-04-21,0,8,0%,6.8
2026-04-22,0,7,0%,15.6
2026-04-23,0,8,0%,9.1
2026-04-24,0,10,0%,9.3
2026-04-25,0,16,0%,12.3
2026-04-26,0,17,0%,8.6
2026-04-27,0,5,0%,5.6