Country,Clicks,Impressions,CTR,Position
United States,0,144,0%,8.38
United Kingdom,0,106,0%,10.6
India,0,36,0%,3.69
Ireland,0,15,0%,8.33
Netherlands,0,13,0%,4.08
Brazil,0,12,0%,6.08
Spain,0,10,0%,8.6
Canada,0,9,0%,6.56
Turkey,0,6,0%,5.83
France,0,5,0%,5.8
Italy,0,5,0%,6.8
Indonesia,0,4,0%,4
Germany,0,3,0%,7.33
Ukraine,0,3,0%,8
Moldova,0,3,0%,8.33
Iran,0,2,0%,6
Singapore,0,2,0%,6
Switzerland,0,2,0%,7.5
United Arab Emirates,0,2,0%,8.5
Iraq,0,2,0%,9.5
Romania,0,2,0%,11
Serbia,0,2,0%,11
Colombia,0,2,0%,11.5
Peru,0,2,0%,19
Vietnam,0,2,0%,22.5
Georgia,0,1,0%,1
Israel,0,1,0%,1
Jamaica,0,1,0%,1
Pakistan,0,1,0%,2
Taiwan,0,1,0%,2
Kazakhstan,0,1,0%,3
China,0,1,0%,4
Cyprus,0,1,0%,5
Belgium,0,1,0%,6
Bahrain,0,1,0%,6
Cuba,0,1,0%,6
Mexico,0,1,0%,6
Nigeria,0,1,0%,6
Norway,0,1,0%,6
Australia,0,1,0%,7
Austria,0,1,0%,7
Czechia,0,1,0%,7
Lithuania,0,1,0%,7
Argentina,0,1,0%,9
Lebanon,0,1,0%,10
Philippines,0,1,0%,10
Tanzania,0,1,0%,10
Bulgaria,0,1,0%,11
Hong Kong,0,1,0%,12
Poland,0,1,0%,15
Croatia,0,1,0%,18